25网络空间安全1班课表,,,,,,,,
时间段,节次,星期一,星期二,星期三,星期四,星期五,星期六,星期日
上午,1,,"专业导论★
(1-2节)4-19周/场地:博学楼-
421/教师:张标汉/教学班人
数:50","C语言程序设计★
(1-1节)4-19周/场地:知新楼-
1007/教师:张标汉/教学班人
数:50","思想道德与法治★
(1-2节)16-17周/场地:博学楼
-205/教师:张璐璐/教学班人
数:100

思想道德与法治★
(1-3节)4-15周/场地:博学楼-
205/教师:张璐璐/教学班人
数:100",,,
,2,,,"C语言程序设计◆
(2-2节)4-19周/场地:知新楼-
1007/教师:张标汉/教学班人
数:50",,,,
,3,"高等数学A（一）★
(3-4节)4-19周/场地:博学楼-
518/教师:曾云辉/教学班人
数:50","大学外语（一）★
(3-4节)4-19周/场地:厚德楼-
305/教师:张金红/教学班人
数:100","高等数学A（一）★
(3-4节)4-19周/场地:博学楼-
518/教师:曾云辉/教学班人
数:50",,"形势与政策（第一学期
)★
(3-4节)12-15周/场地:博学楼
-221/教师:邓红霞/教学班人
数:100",,
,4,,,,,,,
中午,5,,,,,,,
,6,,,,,,,
下午,7,,"C语言程序设计★
(7-9节)4-19周/场地:知新楼-
1007/教师:张标汉/教学班人
数:50",,大学体育（一）(板块),,,
,8,,,,大学体育（一）(板块),,,
,9,,,,,,,
,10,,,,,,,
晚上,11,,,,,,,
,12,"中国共产党简史★
(12-14节)5-10周/场地:博学
楼-205/教师:黄宝玖/教学班
人数:150",,,,,,
,13,,,,,,,
,14,,,,,,,
★:理论 ☆: 实验 ◆: 实践 □:课外实践                                                                                                                                                      打印时间:2025-08-28,,,,,,,,
